ham_word,hword_count,sword_count
loans,1,0
oni,33,6
Took,1,0
Badrith,1,0
mahfuuzmeaning,0,0
stability,1,0
KAVALAN,2,0
people,38,3
kiss,13,0
bras,1,0
soiree,1,0
via,7,3
stereo,1,0
allday,0,0
shopthe,0,0
themed,1,0
havent,16,0
True,3,0
kbut,0,0
site,7,0
EVEN,2,0
lighters,1,0
london,1,0
expects,1,0
wonder,34,0
Ranju,0,0
decimal,1,0
KATE,3,0
cross,12,3
MSG,1,3
make,97,11
mrt,8,0
maga,1,0
Like,8,0
coin,3,0
houseful,1,0
base,2,0
useless,1,0
forgive,2,0
doctor,3,0
gas,17,0
Simply,1,2
otherwise,4,0
Maat,0,0
Dirty,1,0
Cali,1,0
abj,2,0
told,52,0
clearer,0,0
chords,1,0
samantha,1,0
Bits,1,0
head,32,0
dearslp,0,0
March,2,0
elliot,1,0
OUTSOMEWHERE,1,0
gorgeous,2,0
Nickey,1,0
abnormally,0,0
paper,9,2
bitch,3,0
statements,1,0
SUM,1,1
Thx,0,0
fishrman,1,0
shelves,1,0
cheap,6,2
plenty,4,0
value,2,11
eviction,1,0
alive,0,0
PARTY,3,0
Moral,2,0
msg,40,16
fired,0,0
Lifpartnr,3,0
Mumtazs,0,0
fedex,1,0
galcan,0,0
Back,4,1
squeezed,1,0
KNACKERED,1,0
verified,2,0
boston,2,0
weekend,12,9
tooo,2,0
Greetings,1,0
ear,263,39
Predicte,1,0
Match,1,0
Crab,1,0
energy,1,0
prasad,0,0
smoking,3,0
Kgive,0,0
valentines,1,0
mentor,1,0
GODI,0,0
learned,1,0
shaking,1,0
Sunscreen,1,0
uterus,0,0
appendix,1,0
christmas,4,1
drum,1,0
ENJOYIN,2,0
chikkuB,0,0
New,16,15
REGRET,1,0
cafe,5,0
opener,0,0
anderson,1,0
buying,6,0
Waqt,1,0
wil,24,2
speed,4,1
count,24,32
nothin,14,2
anyway,10,0
texted,2,0
problembut,0,0
harlem,0,0
ride,4,0
Cancel,1,0
Tas,0,0
temper,1,0
shite,0,0
buyers,0,0
kaypoh,0,0
phews,0,0
gooddhanush,0,0
minutes,20,5
street,7,0
software,3,0
online,14,0
Bright,2,0
SOONLOTS,1,0
sarcastic,2,0
nalli,1,0
contribute,1,0
Lion,1,2
Press,5,3
GETTIN,1,0
Grl,0,0
guess,24,1
weirdy,1,0
Kerala,4,0
rajas,1,0
Pity,0,0
library,7,0
Ssi,0,0
carlin,1,0
bookedthe,1,0
split,1,0
drugs,9,0
MRur,0,0
swann,1,0
bck,0,0
Teach,2,0
arms,2,0
beers,1,0
rechargeRakhesh,0,0
Phone,2,4
search,21,0
picture,5,1
agree,2,0
together,16,0
elaya,0,0
MONKEYAROUND,0,0
Met,3,0
versus,1,0
youmoney,0,0
msging,1,0
BUS,2,0
Ttyl,2,0
sitter,1,0
express,1,0
smaller,1,0
vasai,1,0
COS,1,0
Merry,8,0
clever,2,0
bend,1,0
durban,1,0
Raj,3,0
stink,0,0
ASTHERE,1,0
mtnl,1,0
idu,2,0
Sez,0,0
Shjas,0,0
give,88,6
aunty,1,0
ice,89,81
calculation,1,0
speak,12,6
book,34,3
JADE,1,0
Compass,1,0
macs,1,0
BACKWARDS,0,0
shouldnt,0,0
Limited,1,0
scrounge,2,0
april,3,0
RIGHT,1,1
mutai,1,0
Invest,1,0
lets,8,1
aint,11,0
hme,3,0
fps,1,0
bowl,5,0
bbs,2,0
Valuable,0,0
BTHERE,0,0
Apps,1,0
drinkpa,0,0
Japanese,2,0
yijuehotmailcom,0,0
worrying,1,0
IBN,0,0
pump,1,0
dorm,1,0
errors,1,0
occur,2,0
NVQ,0,0
scream,8,0
florida,1,0
Soul,1,0
PIN,3,0
ubi,1,0
awesome,5,0
craziest,2,0
sigh,1,0
muchand,1,0
Miles,1,0
Toa,1,0
domain,1,0
hopeSo,1,0
bot,10,0
Hurry,4,0
waste,5,0
Kindly,1,0
Swayze,1,0
Kanagu,1,0
gautham,1,0
supose,1,0
archive,0,0
Cribbs,1,0
Messagesome,0,0
swashbuckling,1,0
venugopal,1,0
sen,180,71
Cozsomtimes,0,0
Gibbs,1,0
Rajitha,1,0
iouri,2,0
ashwini,1,0
wer,39,9
shop,28,5
Dint,1,0
XoXo,1,0
likes,4,0
MATE,2,0
tram,0,0
thesis,1,0
limit,6,3
fever,2,0
configure,1,0
finewhen,0,0
victoria,1,0
gist,8,6
citizen,3,0
weed,7,0
vtired,0,0
lounge,1,1
BETTER,2,0
full,27,0
Salam,1,0
chinese,1,0
Tunji,0,0
Blacko,1,0
farting,1,0
Ese,1,0
thkin,1,0
galileo,2,0
returning,1,0
thts,2,0
Keepintouch,0,0
vpist,0,0
woulda,2,0
owe,32,8
genus,1,0
agency,1,0
HARD,2,1
wahay,0,0
kama,1,0
Free,4,42
thk,37,0
census,0,0
propose,2,0
groundamla,0,0
anti,9,1
hello,3,0
wid,15,5
lennon,0,0
huh,5,0
achanammaRakheshQatar,0,0
pehle,1,0
stuck,3,0
prove,5,2
goto,2,4
loko,1,0
february,2,0
thread,2,0
frm,10,0
filling,1,0
Contact,1,0
able,67,6
meal,3,1
training,5,0
flowing,2,0
could,47,9
impressively,0,0
Really,7,0
schedule,2,0
sarasota,1,0
Pharmacy,1,0
light,18,3
classes,1,0
practical,1,0
unbelievable,1,0
cheers,0,0
itmail,0,0
overtime,1,0
Brother,4,0
machiany,0,0
mostly,1,0
surely,5,0
Nights,0,0
Ready,1,0
end,276,101
panalambut,0,0
WHORE,1,0
Tata,1,0
lambu,1,0
overemphasiseor,0,0
Gotta,1,0
assume,5,0
everybody,2,0
Aiyar,4,0
watch,53,0
cricket,3,0
hoo,47,9
audition,3,0
Saeed,1,0
torture,1,0
Yesbut,0,0
shortly,1,1
finns,0,0
paces,0,0
footblcrckt,0,0
recycling,0,0
urgnt,1,0
salt,0,0
shy,2,0
exeter,1,0
knew,11,0
Celebrated,1,0
pura,2,0
placement,3,0
youmy,0,0
Insha,1,0
anyones,1,0
grocers,0,0
youve,0,0
Wrong,1,0
Goodo,0,0
despite,2,0
wiproyou,0,0
outages,1,0
Theoretically,1,0
Wun,1,0
kanoanyway,0,0
todays,4,1
herI,0,0
auntys,0,0
charge,10,14
album,1,0
Ask,5,0
bein,3,0
Apnt,1,0
Joking,1,0
halla,1,0
phones,1,15
Idk,1,0
supportvery,0,0
Tiwary,1,0
hiya,1,0
owl,14,0
management,3,0
anythingtomorrow,1,0
cud,8,1
Buzz,1,0
